staff,event_short,denominator,numerator,progress
Anna,Caregiver Survey,41,15,0.36585365853658536
Anna,Overall,41,15,0.36585365853658536
Cassie,Caregiver Survey,3,1,0.3333333333333333
Cassie,ECHO 2 Re-Consent,9,0,0
Cassie,IPA Scheduled,3,1,0.3333333333333333
Cassie,Overall,15,2,0.13333333333333333
Jody,Caregiver Survey,121,70,0.5785123966942148
Jody,ECHO 2 Re-Consent,2,2,1
Jody,ECHO 2 v3.01 Postnatal Consent,17,9,0.5294117647058824
Jody,IPA Scheduled,120,35,0.2916666666666667
Jody,Overall,260,116,0.4461538461538462
Unassigned,ECHO 2 Re-Consent,58,2,0.034482758620689655
Unassigned,Overall,58,2,0.034482758620689655
