FTM,Participant Cohort,Task,Outcome,Participants
Amy,3-20 year,11-17yr Child Hair,Complete,17
Amy,3-20 year,11-17yr Child Hair,Incomplete,13
Amy,3-20 year,3-5yr Child Saliva,Incomplete,1
Amy,3-20 year,3yrs+ Tooth 1,Complete,1
Amy,3-20 year,3yrs+ Tooth 1,Incomplete,45
Amy,3-20 year,3yrs+ Tooth 1,No record,1
Amy,3-20 year,3yrs+ Tooth 2,Complete,1
Amy,3-20 year,3yrs+ Tooth 2,Incomplete,45
Amy,3-20 year,3yrs+ Tooth 2,No record,1
Amy,3-20 year,3yrs+ Tooth 3,Complete,1
Amy,3-20 year,3yrs+ Tooth 3,Incomplete,45
Amy,3-20 year,3yrs+ Tooth 3,No record,1
Amy,3-20 year,In-Person Assessments,Complete,35
Amy,3-20 year,In-Person Assessments,Incomplete,1
Amy,3-20 year,In-Person Assessments,No record,10
Amy,3-20 year,In-Person Assessments,No-Show,1
Andrew,3-20 year,3-5yr Child Saliva,Complete,8
Andrew,3-20 year,3-5yr Child Saliva,Incomplete,17
Andrew,3-20 year,3yrs+ Tooth 1,Complete,1
Andrew,3-20 year,3yrs+ Tooth 1,Incomplete,52
Andrew,3-20 year,3yrs+ Tooth 2,Complete,1
Andrew,3-20 year,3yrs+ Tooth 2,Incomplete,52
Andrew,3-20 year,3yrs+ Tooth 3,Incomplete,53
Andrew,3-20 year,In-Person Assessments,Complete,26
Andrew,3-20 year,In-Person Assessments,Incomplete,12
Andrew,3-20 year,In-Person Assessments,No record,6
Andrew,3-20 year,In-Person Assessments,No-Show,9
Andrew,6-35 month,12-23mo Child Bloodspot,Complete,2
Andrew,6-35 month,12-23mo Child Bloodspot,Incomplete,2
Andrew,6-35 month,12-23mo Child Urine,Complete,2
Andrew,6-35 month,12-23mo Child Urine,Incomplete,2
Andrew,6-35 month,12-23mo Hair,Complete,1
Andrew,6-35 month,12-23mo Hair,Incomplete,3
Andrew,6-35 month,12-23mo Mom Bloodspot,Complete,2
Andrew,6-35 month,12-23mo Mom Bloodspot,Incomplete,2
Andrew,6-35 month,In-Person Assessments,Complete,3
Andrew,6-35 month,In-Person Assessments,No record,1
Anna,3-20 year,11-17yr Child Hair,Complete,1
Anna,3-20 year,11-17yr Child Hair,Incomplete,1
Anna,3-20 year,3-5yr Child Saliva,Complete,11
Anna,3-20 year,3-5yr Child Saliva,Incomplete,16
Anna,3-20 year,3yrs+ Tooth 1,Complete,1
Anna,3-20 year,3yrs+ Tooth 1,Incomplete,31
Anna,3-20 year,3yrs+ Tooth 2,Incomplete,32
Anna,3-20 year,3yrs+ Tooth 3,Incomplete,32
Anna,3-20 year,In-Person Assessments,Complete,30
Anna,3-20 year,In-Person Assessments,Incomplete,1
Anna,3-20 year,In-Person Assessments,No-Show,1
Breanna,3-20 year,3yrs+ Tooth 1,Incomplete,11
Breanna,3-20 year,3yrs+ Tooth 2,Incomplete,11
Breanna,3-20 year,3yrs+ Tooth 3,Incomplete,11
Breanna,3-20 year,In-Person Assessments,Complete,4
Breanna,3-20 year,In-Person Assessments,No record,6
Breanna,3-20 year,In-Person Assessments,No-Show,1
Breanna,6-35 month,12-23mo Child Bloodspot,Complete,1
Breanna,6-35 month,12-23mo Child Bloodspot,Incomplete,1
Breanna,6-35 month,12-23mo Child Urine,Incomplete,2
Breanna,6-35 month,12-23mo Hair,Incomplete,2
Breanna,6-35 month,12-23mo Mom Bloodspot,Complete,1
Breanna,6-35 month,12-23mo Mom Bloodspot,Incomplete,1
Breanna,6-35 month,In-Person Assessments,Complete,2
Cassie,3-20 year,11-17yr Child Hair,Complete,31
Cassie,3-20 year,11-17yr Child Hair,Incomplete,18
Cassie,3-20 year,3-5yr Child Saliva,Complete,1
Cassie,3-20 year,3-5yr Child Saliva,Incomplete,4
Cassie,3-20 year,3yrs+ Tooth 1,Complete,1
Cassie,3-20 year,3yrs+ Tooth 1,Incomplete,65
Cassie,3-20 year,3yrs+ Tooth 1,No record,3
Cassie,3-20 year,3yrs+ Tooth 2,Incomplete,66
Cassie,3-20 year,3yrs+ Tooth 2,No record,3
Cassie,3-20 year,3yrs+ Tooth 3,Incomplete,66
Cassie,3-20 year,3yrs+ Tooth 3,No record,3
Cassie,3-20 year,In-Person Assessments,Complete,46
Cassie,3-20 year,In-Person Assessments,Incomplete,7
Cassie,3-20 year,In-Person Assessments,No record,14
Cassie,3-20 year,In-Person Assessments,No-Show,2
Cassie,6-35 month,24-35mo Mom Urine,Incomplete,1
Cassie,6-35 month,In-Person Assessments,Complete,1
Jo,3-20 year,11-17yr Child Hair,Complete,5
Jo,3-20 year,11-17yr Child Hair,Incomplete,27
Jo,3-20 year,3-5yr Child Saliva,Complete,1
Jo,3-20 year,3-5yr Child Saliva,Incomplete,4
Jo,3-20 year,3yrs+ Tooth 1,Incomplete,49
Jo,3-20 year,3yrs+ Tooth 2,Incomplete,49
Jo,3-20 year,3yrs+ Tooth 3,Incomplete,49
Jo,3-20 year,In-Person Assessments,Complete,34
Jo,3-20 year,In-Person Assessments,Incomplete,11
Jo,3-20 year,In-Person Assessments,No record,4
Jody,3-20 year,11-17yr Child Hair,Complete,2
Jody,3-20 year,11-17yr Child Hair,Incomplete,4
Jody,3-20 year,3-5yr Child Saliva,Complete,10
Jody,3-20 year,3-5yr Child Saliva,Incomplete,4
Jody,3-20 year,3yrs+ Tooth 1,Incomplete,42
Jody,3-20 year,3yrs+ Tooth 2,Incomplete,42
Jody,3-20 year,3yrs+ Tooth 3,Incomplete,42
Jody,3-20 year,In-Person Assessments,Complete,27
Jody,3-20 year,In-Person Assessments,Incomplete,1
Jody,3-20 year,In-Person Assessments,No record,14
Jody,6-35 month,12-23mo Child Bloodspot,Complete,2
Jody,6-35 month,12-23mo Child Bloodspot,Incomplete,8
Jody,6-35 month,12-23mo Child Urine,Complete,1
Jody,6-35 month,12-23mo Child Urine,Incomplete,9
Jody,6-35 month,12-23mo Hair,Complete,2
Jody,6-35 month,12-23mo Hair,Incomplete,8
Jody,6-35 month,12-23mo Mom Bloodspot,Complete,2
Jody,6-35 month,12-23mo Mom Bloodspot,Incomplete,8
Jody,6-35 month,In-Person Assessments,Complete,8
Jody,6-35 month,In-Person Assessments,Incomplete,1
Jody,6-35 month,In-Person Assessments,No record,1
Kowlini,3-20 year,3-5yr Child Saliva,Complete,2
Kowlini,3-20 year,3-5yr Child Saliva,Incomplete,1
Kowlini,3-20 year,3yrs+ Tooth 1,Incomplete,19
Kowlini,3-20 year,3yrs+ Tooth 2,Incomplete,19
Kowlini,3-20 year,3yrs+ Tooth 3,Incomplete,19
Kowlini,3-20 year,In-Person Assessments,Complete,14
Kowlini,3-20 year,In-Person Assessments,Incomplete,2
Kowlini,3-20 year,In-Person Assessments,No-Show,3
Kowlini,6-35 month,12-23mo Child Bloodspot,Complete,5
Kowlini,6-35 month,12-23mo Child Bloodspot,Incomplete,8
Kowlini,6-35 month,12-23mo Child Urine,Complete,3
Kowlini,6-35 month,12-23mo Child Urine,Incomplete,10
Kowlini,6-35 month,12-23mo Hair,Complete,4
Kowlini,6-35 month,12-23mo Hair,Incomplete,9
Kowlini,6-35 month,12-23mo Mom Bloodspot,Complete,5
Kowlini,6-35 month,12-23mo Mom Bloodspot,Incomplete,8
Kowlini,6-35 month,In-Person Assessments,Complete,10
Kowlini,6-35 month,In-Person Assessments,Incomplete,2
Kowlini,6-35 month,In-Person Assessments,No-Show,1
Nicole,3-20 year,3-5yr Child Saliva,Incomplete,1
Nicole,3-20 year,3yrs+ Tooth 1,Complete,6
Nicole,3-20 year,3yrs+ Tooth 1,Incomplete,71
Nicole,3-20 year,3yrs+ Tooth 2,Complete,2
Nicole,3-20 year,3yrs+ Tooth 2,Incomplete,75
Nicole,3-20 year,3yrs+ Tooth 3,Incomplete,77
Nicole,3-20 year,In-Person Assessments,Complete,52
Nicole,3-20 year,In-Person Assessments,Incomplete,9
Nicole,3-20 year,In-Person Assessments,No record,16
Nicole,6-35 month,12-23mo Child Bloodspot,Complete,13
Nicole,6-35 month,12-23mo Child Bloodspot,Incomplete,22
Nicole,6-35 month,12-23mo Child Urine,Complete,16
Nicole,6-35 month,12-23mo Child Urine,Incomplete,19
Nicole,6-35 month,12-23mo Hair,Complete,17
Nicole,6-35 month,12-23mo Hair,Incomplete,18
Nicole,6-35 month,12-23mo Mom Bloodspot,Complete,14
Nicole,6-35 month,12-23mo Mom Bloodspot,Incomplete,21
Nicole,6-35 month,In-Person Assessments,Complete,27
Nicole,6-35 month,In-Person Assessments,Incomplete,5
Nicole,6-35 month,In-Person Assessments,No record,1
Nicole,6-35 month,In-Person Assessments,No-Show,2
Toye,3-20 year,11-17yr Child Hair,Complete,2
Toye,3-20 year,3-5yr Child Saliva,Complete,14
Toye,3-20 year,3-5yr Child Saliva,Incomplete,11
Toye,3-20 year,3yrs+ Tooth 1,Complete,7
Toye,3-20 year,3yrs+ Tooth 1,Incomplete,74
Toye,3-20 year,3yrs+ Tooth 2,Complete,4
Toye,3-20 year,3yrs+ Tooth 2,Incomplete,77
Toye,3-20 year,3yrs+ Tooth 3,Complete,2
Toye,3-20 year,3yrs+ Tooth 3,Incomplete,79
Toye,3-20 year,In-Person Assessments,Complete,54
Toye,3-20 year,In-Person Assessments,Incomplete,2
Toye,3-20 year,In-Person Assessments,No record,20
Toye,3-20 year,In-Person Assessments,No-Show,5
Toye,6-35 month,12-23mo Child Bloodspot,Complete,1
Toye,6-35 month,12-23mo Child Bloodspot,Incomplete,3
